,r1,r2,r3,r4,r5,r6,r7
r1,NaN,0.759042282,0.66179159,0.742982052,0.695692666,0.702921348,0.661356932
r2,0.759042282,NaN,0.669639154,0.737456243,0.702284626,0.705128205,0.649742166
r3,0.66179159,0.669639154,NaN,0.781045752,0.706763872,0.74494899,0.782422891
r4,0.742982052,0.737456243,0.781045752,NaN,0.745203034,0.757687311,0.755959359
r5,0.695692666,0.702284626,0.706763872,0.745203034,NaN,0.700717235,0.68671193
r6,0.702921348,0.705128205,0.74494899,0.757687311,0.700717235,NaN,0.72156262
r7,0.661356932,0.649742166,0.782422891,0.755959359,0.68671193,0.72156262,NaN
